lon,lat,max
115.3631,22.78423,39
115.3815,22.79214,34
115.3794,22.78138,49
115.2528,22.79464,32
115.4194,22.79618,33
115.4248,22.80282,17
115.4321,22.81729,39
115.373,22.79206,17
115.3279,22.80322,62
115.4614,22.72786,49
115.4618,22.72957,16
115.4282,22.81172,51
115.3028,22.79998,43
115.5086,22.73417,33
115.5125,22.73667,23
115.5508,22.69352,56
115.4234,22.80883,72
115.3821,22.79286,31
115.391,22.79504,40
115.3786,22.78776,26
115.3673,22.77266,24
115.3729,22.76701,11
115.4505,22.73415,27
115.2955,22.79909,20
115.3012,22.80057,33
115.4146,22.7926,40
115.5251,22.72277,45
115.5399,22.71285,24
115.5419,22.78136,55
115.3837,22.79192,47
115.3663,22.77934,31
115.5914,22.74139,52
115.5106,22.72702,49
115.3624,22.83847,9
115.3426,22.85195,55
115.3764,22.83148,61
115.4261,22.81198,22
115.3315,22.79937,24
115.3846,22.78174,49
115.366,22.77958,38
115.3663,22.77934,26
115.3652,22.77562,23
115.3754,22.79099,4
115.3639,22.79919,7
115.3836,22.7833,6
115.3456,22.99262,69
115.3552,22.98357,20
115.375,22.76717,20
115.3438,22.97686,46
115.3342,22.97716,9
115.3456,22.97561,30
115.3311,22.99876,5
115.3651,23.01086,30
115.3288,22.96081,42
115.3547,22.9925,31
115.3665,22.97915,5
115.3567,22.98638,24
115.3231,22.96711,13
115.3418,22.97332,37
115.664,22.96273,8
115.664,22.9624,17
115.6495,22.9622,38
115.6567,22.96081,5
115.6555,22.94614,45
115.6419,22.94424,5
115.6621,22.96331,44
115.8412,22.82171,33
115.7967,22.83039,15
116.0804,22.87325,43
116.0809,22.91012,21
115.9266,22.90982,51
115.3585,22.78661,23
115.9096,22.97355,4
115.8509,22.92601,19
115.6442,22.9459,5
116.0302,22.87494,27
115.5731,22.9407,5
115.63868 ,23.07610 ,15
115.55436 ,23.06273 ,26
115.54786 ,23.09070 ,49
115.798645,22.948549,6
115.7314,23.32271,20
115.5667,23.19169,43
115.6111,23.19333,8
115.6129,23.19069,21
115.2424,22.97343,22
115.735,23.27955,11
115.7379,23.34258,32
115.6228,23.23336,11
115.6616,23.3067,14
115.6702,23.30873,42
115.6245,23.41327,22
115.6826,23.30688,7
115.6664,23.30106,5
115.6276,23.39358,35
